[generator] Loaded 690 enriched chunks
[generator] Chapter filter ['A', 'B', 'C'] → 48 chunks
[generator] Backend: ollama  Machine: mac  Seed: 42  Workers: 1
[generator] Scheduled 390 tasks → target 300 pairs  (+30 % buffer for filter rate)

[generator] 0 already done, 390 pending

  [76/390] C-27 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [77/390] C-39 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [78/390] C-24 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [79/390] C-6 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [80/390] C-5 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [81/390] C-34 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [82/390] C-38 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [83/390] B-1 applied_reasoning ... FAILED (no JSON)
  [84/390] C-19 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [85/390] C-29 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [86/390] B-2 comparative ... FILTERED (answer too short (47 words))
  [87/390] C-26 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [88/390] C-35 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [89/390] B-2 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [90/390] B-4 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [91/390] C-6 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [92/390] C-7 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [93/390] C-9 comparative ... FILTERED (missing [Reference: ATP 2-01.3, ...] at end of answer)
  [94/390] B-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [95/390] B-3 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [96/390] C-32 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [97/390] C-34 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [98/390] C-21 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [99/390] C-23 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [100/390] B-1 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [101/390] C-8 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [102/390] C-5 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [103/390] A-1 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [104/390] C-26 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [105/390] B-3 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [106/390] C-22 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [107/390] C-23 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [108/390] B-2 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [109/390] C-18 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [110/390] C-29 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [111/390] C-17 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [112/390] C-36 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [113/390] C-16 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [114/390] C-12 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [115/390] C-24 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [116/390] C-7 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [117/390] C-19 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [118/390] C-28 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [119/390] C-14 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [120/390] C-8 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [121/390] C-32 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [122/390] C-25 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [123/390] C-37 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [124/390] B-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [125/390] C-10 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [126/390] C-30 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [127/390] C-31 product_generation ... FAILED (no JSON)
  [128/390] C-15 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [129/390] C-14 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [130/390] C-13 multi_domain ... FAILED (no JSON)
  [131/390] C-39 echelon_specific ... FILTERED (answer too short (46 words))
  [132/390] C-17 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [133/390] C-33 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [134/390] B-2 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [135/390] C-10 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [136/390] C-3 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [137/390] C-11 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [138/390] C-12 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [139/390] C-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [140/390] C-30 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [141/390] C-27 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [142/390] C-20 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [143/390] B-1 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [144/390] C-9 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [145/390] C-31 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [146/390] C-15 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [147/390] B-1 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [148/390] B-4 cross_step ... FAILED (no JSON)
  [149/390] C-11 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [150/390] C-25 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [151/390] C-3 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [152/390] C-21 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [153/390] C-4 product_generation ... FILTERED (answer too short (48 words))
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [154/390] B-1 cross_step ... FAILED (no JSON)
  [155/390] B-1 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [156/390] C-2 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [157/390] C-16 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [158/390] C-22 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [159/390] C-36 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [160/390] C-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [161/390] C-28 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [162/390] C-13 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [163/390] C-33 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [164/390] C-2 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [165/390] A-1 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [166/390] C-38 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [167/390] C-20 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [168/390] C-37 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [169/390] C-18 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [170/390] C-35 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [171/390] C-4 echelon_specific ... FILTERED (answer too short (49 words))
